T01,0,0,0
T02,0,0,0
T03,0,0,0
T04,0,0,0
T05,0,0,0
T06,0,0,0
T07,0,0,0
T08,0,0,0
T09,0,0,0
T10,0,0,0
T11,0,0,0
T12,0,0,0
T13,0,0,0
T14,0,0,0
T15,0,0,0
T16,0,0,0
R01,0,0,0
R02,0,0,0
R03,0,0,0
R04,0,0,0
R05,0,0,0
R06,0,0,0
R07,0,0,0
R08,0,0,0
R09,0,0,0
R10,0,0,0
R11,0,0,0
R12,0,0,0
R13,0,0,0
R14,0,0,0
Ch01,18.178,16.997,-25.596
Ch02,18.035,19.401,-23.914
Ch03,18.29,21.37,-21.536
Ch04,18.629,22.437,-18.214
Ch05,19.683,15.288,-26.579
Ch06,19.388,18.455,-25.45
Ch07,19.532,20.646,-23.586
Ch08,19.635,22.248,-20.636
Ch09,20.082,22.639,-17.469
Ch10,21.157,17.05,-26.541
Ch11,21.106,19.904,-24.768
Ch12,21.262,21.662,-22.67
Ch13,21.301,22.476,-19.601
Ch14,22.41,15.846,-26.976
Ch15,22.285,18.6,-25.919
Ch16,22.116,21.114,-23.729
Ch17,22.451,22.431,-21.06
Ch18,23.014,22.512,-18.221
Ch19,23.906,16.996,-26.566
Ch20,23.569,19.504,-25.156
Ch21,23.731,21.456,-22.825
Ch22,23.846,22.478,-19.672
Ch23,19.986,6.661,-19.581
Ch24,19.777,7.564,-22.567
Ch25,19.396,9.203,-24.807
Ch26,19.573,11.419,-26.454
Ch27,21.37,6.353,-18.347
Ch28,21.179,6.772,-21.541
Ch29,20.86,7.844,-24.142
Ch30,20.722,10.134,-26.023
Ch31,20.532,13.269,-27.129
Ch32,23.09,6.523,-20.04
Ch33,22.753,7.271,-23.035
Ch34,22.423,8.916,-25.355
Ch35,22.043,11.481,-26.855
Ch36,24.67,6.796,-18.557
Ch37,24.369,7.138,-21.545
Ch38,24.14,8.321,-24.373
Ch39,23.912,10.335,-26.428
Ch40,23.476,13.214,-27.411
Ch41,25.797,7.507,-20.211
Ch42,25.687,7.942,-22.922
Ch43,25.34,9.598,-25.358
Ch44,25.064,12.24,-26.95
